recipe_id,target_ingredient_id,strategy,adjusted_ingredient_id,adjusted_ingredient_name,alpha,original_sqe,adjusted_sqe,delta_sqe,accept
1,1,ratio_adjustment_0.85,2.0,hibiscus simple syrup,0.85,0.6172955221997081,0.6190671000037249,0.0017715778040168217,True
1,1,ratio_adjustment_0.9,2.0,hibiscus simple syrup,0.9,0.6172955221997081,0.617833521280168,0.0005379990804599277,True
1,1,ratio_adjustment_1.1,2.0,hibiscus simple syrup,1.1,0.6172955221997081,0.6138410109703978,-0.0034545112293102864,True
1,1,ratio_adjustment_1.15,2.0,hibiscus simple syrup,1.15,0.6172955221997081,0.6119744251262302,-0.005321097073477832,True
1,1,ratio_adjustment_0.85,3.0,lime juice,0.85,0.6172955221997081,0.6135881120970942,-0.003707410102613884,True
1,1,ratio_adjustment_0.9,3.0,lime juice,0.9,0.6172955221997081,0.6149166714440915,-0.0023788507556166127,True
1,1,ratio_adjustment_1.1,3.0,lime juice,1.1,0.6172955221997081,0.6193089751336083,0.002013452933900206,True
1,1,ratio_adjustment_1.15,3.0,lime juice,1.15,0.6172955221997081,0.6201821452726302,0.00288662307292209,True
1,1,supplement_addition,,,,0.6172955221997081,0.5871556777793853,-0.030139844420322803,True
1,1,ratio_adjustment_0.85,2.0,hibiscus simple syrup,0.85,0.6172955221997081,0.6190671000037249,0.0017715778040168217,True
1,1,ratio_adjustment_0.9,2.0,hibiscus simple syrup,0.9,0.6172955221997081,0.617833521280168,0.0005379990804599277,True
1,1,ratio_adjustment_1.1,2.0,hibiscus simple syrup,1.1,0.6172955221997081,0.6138410109703978,-0.0034545112293102864,True
1,1,ratio_adjustment_1.15,2.0,hibiscus simple syrup,1.15,0.6172955221997081,0.6119744251262302,-0.005321097073477832,True
1,1,ratio_adjustment_0.85,3.0,lime juice,0.85,0.6172955221997081,0.6135881120970942,-0.003707410102613884,True
1,1,ratio_adjustment_0.9,3.0,lime juice,0.9,0.6172955221997081,0.6149166714440915,-0.0023788507556166127,True
1,1,ratio_adjustment_1.1,3.0,lime juice,1.1,0.6172955221997081,0.6193089751336083,0.002013452933900206,True
1,1,ratio_adjustment_1.15,3.0,lime juice,1.15,0.6172955221997081,0.6201821452726302,0.00288662307292209,True
1,1,supplement_addition,,,,0.6172955221997081,0.5871556777793853,-0.030139844420322803,True
1,1,ratio_adjustment_0.85,2.0,hibiscus simple syrup,0.85,0.6172955221997081,0.6190671000037249,0.0017715778040168217,True
1,1,ratio_adjustment_0.9,2.0,hibiscus simple syrup,0.9,0.6172955221997081,0.617833521280168,0.0005379990804599277,True
1,1,ratio_adjustment_1.1,2.0,hibiscus simple syrup,1.1,0.6172955221997081,0.6138410109703978,-0.0034545112293102864,True
1,1,ratio_adjustment_1.15,2.0,hibiscus simple syrup,1.15,0.6172955221997081,0.6119744251262302,-0.005321097073477832,True
1,1,ratio_adjustment_0.85,3.0,lime juice,0.85,0.6172955221997081,0.6135881120970942,-0.003707410102613884,True
1,1,ratio_adjustment_0.9,3.0,lime juice,0.9,0.6172955221997081,0.6149166714440915,-0.0023788507556166127,True
1,1,ratio_adjustment_1.1,3.0,lime juice,1.1,0.6172955221997081,0.6193089751336083,0.002013452933900206,True
1,1,ratio_adjustment_1.15,3.0,lime juice,1.15,0.6172955221997081,0.6201821452726302,0.00288662307292209,True
1,1,supplement_addition,,,,0.6172955221997081,0.5871556777793853,-0.030139844420322803,True
1,1,ratio_adjustment_1.1,2.0,hibiscus simple syrup,1.1,0.5973112786599046,0.5948209712499364,-0.002490307409968251,True
1,1,ratio_adjustment_1.15,2.0,hibiscus simple syrup,1.15,0.5973112786599046,0.5934369154742918,-0.00387436318561285,True
1,1,ratio_adjustment_1.1,3.0,lime juice,1.1,0.5973112786599046,0.5990171596938852,0.0017058810339806163,True
1,1,ratio_adjustment_1.15,3.0,lime juice,1.15,0.5973112786599046,0.5997776764320395,0.002466397772134865,True
1,1,supplement_addition,,,,0.5973112786599046,0.5688438421099146,-0.028467436549990066,True
1,1,ratio_adjustment_1.1,2.0,hibiscus simple syrup,1.1,0.5899980413081354,0.5875970647087845,-0.0024009765993509014,True
1,1,ratio_adjustment_1.15,2.0,hibiscus simple syrup,1.15,0.5899980413081354,0.5862687929632414,-0.003729248344893965,True
1,1,ratio_adjustment_1.1,3.0,lime juice,1.1,0.5899980413081354,0.5917524384659638,0.0017543971578284356,True
1,1,ratio_adjustment_1.15,3.0,lime juice,1.15,0.5899980413081354,0.5925422508769635,0.0025442095688281707,True
1,1,supplement_addition,,,,0.5899980413081354,0.5658545072975355,-0.024143534010599876,True
