recipe_id,i_id,j_id,i_role,j_role,i_amount,j_amount,w_flavor,w_cooccur_raw,w_cooccur_used,sim_anchor,role_compat,amount_modifier,m_ij,flavor_term,cooccur_term,anchor_term,pair_score,flavor_edge_found,cooccur_edge_found,anchor_info_found
1,1,2,base_spirit,sweetener,1.5,1.0,0.217921,1.5211732434371896,1.5211732434371896,0.0,1.2,1.2,1.44,0.12552249599999998,0.6571468411648659,0.0,0.7826693371648659,True,True,True
1,1,3,base_spirit,acid,1.5,0.5,0.347038,-0.706952192401981,0.0,0.0,1.2,1.0,1.2,0.16657824,0.0,0.0,0.16657824,True,True,True
1,1,4,base_spirit,dilution,1.5,,0.301843,-0.4101522515681558,0.0,0.0,1.0,1.0,1.0,0.12073719999999999,0.0,0.0,0.12073719999999999,True,True,True
1,2,3,sweetener,acid,1.0,0.5,0.409467,0.28395520944990604,0.28395520944990604,0.0,1.1,1.0,1.1,0.18016548000000004,0.093705219118469,0.0,0.27387069911846906,True,True,True
1,2,4,sweetener,dilution,1.0,,0.270574,1.2739023306136916,1.2739023306136916,0.0,1.0,1.0,1.0,0.1082296,0.38217069918410745,0.0,0.49040029918410744,True,True,True
1,3,4,acid,dilution,0.5,,0.250585,-1.6473702859135184,0.0,0.0,1.0,1.0,1.0,0.100234,0.0,0.0,0.100234,True,True,True
2,5,6,base_spirit,sweetener,2.0,0.75,0.234779,0.2359054054405374,0.2359054054405374,0.0,1.2,1.0,1.2,0.11269391999999999,0.08492594595859346,0.0,0.19761986595859343,True,True,True
2,5,7,base_spirit,acid,2.0,0.5,0.31459,-1.9020393226335375,0.0,0.0,1.2,1.0,1.2,0.15100319999999998,0.0,0.0,0.15100319999999998,True,True,True
2,5,8,base_spirit,modifier,2.0,0.5,0.323114,-1.7076169077709573,0.0,0.0,1.1,1.0,1.1,0.14217016000000002,0.0,0.0,0.14217016000000002,True,True,True
2,5,9,base_spirit,modifier,2.0,0.25,0.228933,-0.04135346678344076,0.0,0.0,1.1,1.0,1.1,0.10073052000000002,0.0,0.0,0.10073052000000002,True,True,True
2,5,10,base_spirit,bitters,2.0,4.0,0.225701,-2.0853424801705773,0.0,0.0,1.0,1.2,1.2,0.10833648,0.0,0.0,0.10833648,True,True,True
2,5,11,base_spirit,garnish,2.0,,0.046857,-2.8846120117998764,0.0,0.5,0.6,1.0,0.6,0.011245680000000001,0.0,0.09,0.10124568,True,True,True
2,6,7,sweetener,acid,0.75,0.5,0.28885,0.20473482192401904,0.20473482192401904,0.0,1.1,0.8,0.8800000000000001,0.10167520000000002,0.054049992987941026,0.0,0.15572519298794105,True,True,True
2,6,8,sweetener,modifier,0.75,0.5,0.331612,3.8956647994145186,3.8956647994145186,1.0,1.0,0.8,0.8,0.10611584000000003,0.9349595518594844,0.24,1.2810753918594844,True,True,True
2,6,9,sweetener,modifier,0.75,0.25,0.132148,4.868781058878481,4.868781058878481,0.0,1.0,0.8,0.8,0.04228736,1.1685074541308353,0.0,1.2107948141308353,True,True,True
2,6,10,sweetener,bitters,0.75,4.0,0.27497,1.215354133540504,1.215354133540504,0.0,1.0,1.0,1.0,0.109988,0.3646062400621512,0.0,0.47459424006215123,True,True,True
2,6,11,sweetener,garnish,0.75,,0.114951,2.7186696958048144,2.7186696958048144,0.0,0.6,1.0,0.6,0.02758824,0.4893605452448666,0.0,0.5169487852448666,True,True,True
2,7,8,acid,modifier,0.5,0.5,0.118822,-1.7387874914548704,0.0,0.5,1.0,0.8,0.8,0.03802304000000001,0.0,0.12,0.15802304,True,True,True
2,7,9,acid,modifier,0.5,0.25,0.308742,-1.458818412271378,0.0,0.0,1.0,0.8,0.8,0.09879744000000003,0.0,0.0,0.09879744000000003,True,True,True
2,7,10,acid,bitters,0.5,4.0,0.24569,-2.6273386874676428,0.0,0.0,1.0,1.0,1.0,0.098276,0.0,0.0,0.098276,True,True,True
2,7,11,acid,garnish,0.5,,0.156088,-1.9994918633650922,0.0,0.0,0.6,1.0,0.6,0.03746112,0.0,0.0,0.03746112,True,True,True
2,8,9,modifier,modifier,0.5,0.25,0.246731,2.2321115660575503,2.2321115660575503,0.0,0.9,0.8,0.7200000000000001,0.07105852800000001,0.48213609826843096,0.0,0.553194626268431,True,True,True
2,8,10,modifier,bitters,0.5,4.0,0.310136,-1.421315359996584,0.0,0.0,1.0,1.0,1.0,0.12405440000000001,0.0,0.0,0.12405440000000001,True,True,True
2,8,11,modifier,garnish,0.5,,0.152537,0.08200020282667886,0.08200020282667886,0.0,0.6,1.0,0.6,0.03660888,0.014760036508802194,0.0,0.051368916508802195,True,True,True
2,9,10,modifier,bitters,0.25,4.0,0.270921,-0.4481990998033648,0.0,0.0,1.0,1.0,1.0,0.10836840000000002,0.0,0.0,0.10836840000000002,True,True,True
2,9,11,modifier,garnish,0.25,,0.113147,1.055116462460946,1.055116462460946,0.0,0.6,1.0,0.6,0.027155279999999997,0.18992096324297025,0.0,0.21707624324297026,True,True,True
2,10,11,bitters,garnish,4.0,,0.228953,-1.499698174698004,0.0,0.0,0.6,1.0,0.6,0.05494871999999999,0.0,0.0,0.05494871999999999,True,True,True
3,12,7,base_spirit,acid,1500.0,750.0,0.270212,-2.0337076466353774,0.0,0.0,1.2,1.2,1.44,0.155642112,0.0,0.0,0.155642112,True,True,True
3,12,14,base_spirit,sweetener,1500.0,750.0,0.165005,0.6188566641809885,0.6188566641809885,0.0,1.2,1.2,1.44,0.09504288,0.267346078926187,0.0,0.362388958926187,True,True,True
3,12,15,base_spirit,bitters,1500.0,0.5,0.193786,-0.1588046316580336,0.0,0.0,1.0,1.0,1.0,0.07751440000000001,0.0,0.0,0.07751440000000001,True,True,True
3,12,16,base_spirit,modifier,1500.0,1.0,0.140191,1.1595301147436983,1.1595301147436983,1.0,1.1,1.2,1.32,0.07402084800000001,0.45917392543850455,0.396,0.9291947734385045,True,True,True
3,7,14,acid,sweetener,750.0,750.0,0.304352,-0.6977116164255881,0.0,0.0,1.1,1.2,1.32,0.160697856,0.0,0.0,0.160697856,True,True,True
3,7,15,acid,bitters,750.0,0.5,0.249786,-0.8467642527653799,0.0,1.0,1.0,1.0,1.0,0.09991440000000001,0.0,0.3,0.3999144,True,True,True
3,7,16,acid,modifier,750.0,1.0,0.270088,-0.627041795031758,0.0,0.0,1.0,1.2,1.2,0.12964224,0.0,0.0,0.12964224,True,True,True
3,14,15,sweetener,bitters,750.0,0.5,0.26622,1.4003349493332138,1.4003349493332138,0.0,1.0,1.0,1.0,0.10648800000000001,0.42010048479996415,0.0,0.5265884847999641,True,True,True
3,14,16,sweetener,modifier,750.0,1.0,0.139984,2.7186696958048144,2.7186696958048144,0.0,1.0,1.2,1.2,0.06719232,0.9787210904897332,0.0,1.0459134104897332,True,True,True
3,15,16,bitters,modifier,0.5,1.0,0.224058,3.550446312476749,3.550446312476749,0.0,1.0,1.0,1.0,0.08962320000000001,1.0651338937430246,0.0,1.1547570937430245,True,True,True
4,17,18,base_spirit,modifier,1.5,0.75,0.16954,-2.396473895558601,0.0,0.0,1.1,1.0,1.1,0.07459760000000001,0.0,0.0,0.07459760000000001,True,True,True
4,17,19,base_spirit,sweetener,1.5,0.5,0.179451,-0.48241488369082586,0.0,0.0,1.2,1.0,1.2,0.08613648,0.0,0.0,0.08613648,True,True,True
4,17,20,base_spirit,modifier,1.5,0.25,0.165005,0.6188566641809885,0.6188566641809885,0.0,1.1,1.0,1.1,0.07260220000000002,0.2042226991797262,0.0,0.27682489917972625,True,True,True
4,17,21,base_spirit,bitters,1.5,1.0,0.181339,-1.0781391476837978,0.0,0.5,1.0,1.2,1.2,0.08704271999999999,0.0,0.18,0.26704271999999996,True,True,True
4,18,19,modifier,sweetener,0.75,0.5,0.174096,-1.7154623091470826,0.0,0.0,1.0,0.8,0.8,0.05571072000000001,0.0,0.0,0.05571072000000001,True,True,True
4,18,20,modifier,modifier,0.75,0.25,0.205634,-0.8373343129953009,0.0,0.0,0.9,0.8,0.7200000000000001,0.05922259200000001,0.0,0.0,0.05922259200000001,True,True,True
